model_name,threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,false_positive_cost,false_negative_cost,business_cost
logistic_regression,0.8,0.8571428571428571,0.5806451612903226,0.3829787234042553,0.46153846153846156,234,13,29,18,1500,15000,454500
logistic_regression,0.85,0.8503401360544217,0.5789473684210527,0.23404255319148937,0.3333333333333333,239,8,36,11,1500,15000,552000
logistic_regression,0.9,0.8707482993197279,0.8461538461538461,0.23404255319148937,0.36666666666666675,245,2,36,11,1500,15000,543000
logistic_regression,0.95,0.8707482993197279,1.0,0.19148936170212766,0.32142857142857145,247,0,38,9,1500,15000,570000
xgboost,0.05,0.272108843537415,0.17509727626459143,0.9574468085106383,0.2960526315789474,35,212,2,45,1500,15000,348000
xgboost,0.1,0.38095238095238093,0.1917808219178082,0.8936170212765957,0.3157894736842105,70,177,5,42,1500,15000,340500
xgboost,0.15,0.48639455782312924,0.22043010752688172,0.8723404255319149,0.351931330472103,102,145,6,41,1500,15000,307500
xgboost,0.2,0.6020408163265306,0.26666666666666666,0.851063829787234,0.40609137055837563,137,110,7,40,1500,15000,270000
xgboost,0.25,0.6530612244897959,0.2868217054263566,0.7872340425531915,0.42045454545454547,155,92,10,37,1500,15000,288000
xgboost,0.3,0.7040816326530612,0.3113207547169811,0.7021276595744681,0.4313725490196078,174,73,14,33,1500,15000,319500
xgboost,0.35,0.7380952380952381,0.32954545454545453,0.6170212765957447,0.42962962962962964,188,59,18,29,1500,15000,358500
xgboost,0.4,0.7653061224489796,0.35135135135135137,0.5531914893617021,0.42975206611570244,199,48,21,26,1500,15000,387000
xgboost,0.45,0.7755102040816326,0.3492063492063492,0.46808510638297873,0.4,206,41,25,22,1500,15000,436500
xgboost,0.5,0.782312925170068,0.34545454545454546,0.40425531914893614,0.37254901960784315,211,36,28,19,1500,15000,474000
xgboost,0.55,0.8163265306122449,0.4222222222222222,0.40425531914893614,0.41304347826086957,221,26,28,19,1500,15000,459000
xgboost,0.6,0.8367346938775511,0.4827586206896552,0.2978723404255319,0.3684210526315789,232,15,33,14,1500,15000,517500
xgboost,0.65,0.8401360544217688,0.5,0.2553191489361702,0.3380281690140845,235,12,35,12,1500,15000,543000
xgboost,0.7,0.8571428571428571,0.631578947368421,0.2553191489361702,0.3636363636363636,240,7,35,12,1500,15000,535500
xgboost,0.75,0.8537414965986394,0.6666666666666666,0.1702127659574468,0.2711864406779661,243,4,39,8,1500,15000,591000
xgboost,0.8,0.8571428571428571,0.7777777777777778,0.14893617021276595,0.25,245,2,40,7,1500,15000,603000
xgboost,0.85,0.8571428571428571,0.8571428571428571,0.1276595744680851,0.2222222222222222,246,1,41,6,1500,15000,616500
xgboost,0.9,0.8537414965986394,0.8333333333333334,0.10638297872340426,0.18867924528301885,246,1,42,5,1500,15000,631500
xgboost,0.95,0.8469387755102041,1.0,0.0425531914893617,0.08163265306122448,247,0,45,2,1500,15000,675000
lightgbm,0.05,0.3741496598639456,0.19282511210762332,0.9148936170212766,0.31851851851851853,67,180,4,43,1500,15000,330000
lightgbm,0.1,0.47959183673469385,0.20555555555555555,0.7872340425531915,0.32599118942731276,104,143,10,37,1500,15000,364500
lightgbm,0.15,0.5782312925170068,0.23809523809523808,0.7446808510638298,0.36082474226804123,135,112,12,35,1500,15000,348000
lightgbm,0.2,0.6462585034013606,0.2564102564102564,0.6382978723404256,0.3658536585365853,160,87,17,30,1500,15000,385500
lightgbm,0.25,0.7108843537414966,0.30612244897959184,0.6382978723404256,0.41379310344827586,179,68,17,30,1500,15000,357000
lightgbm,0.3,0.7278911564625851,0.3058823529411765,0.5531914893617021,0.393939393939394,188,59,21,26,1500,15000,403500
lightgbm,0.35,0.7448979591836735,0.3108108108108108,0.48936170212765956,0.38016528925619836,196,51,24,23,1500,15000,436500
lightgbm,0.4,0.7755102040816326,0.3492063492063492,0.46808510638297873,0.4,206,41,25,22,1500,15000,436500
lightgbm,0.45,0.8061224489795918,0.4074074074074074,0.46808510638297873,0.43564356435643564,215,32,25,22,1500,15000,423000
lightgbm,0.5,0.8061224489795918,0.391304347826087,0.3829787234042553,0.3870967741935484,219,28,29,18,1500,15000,477000
lightgbm,0.55,0.8401360544217688,0.5,0.3617021276595745,0.4197530864197531,230,17,30,17,1500,15000,475500
lightgbm,0.6,0.8469387755102041,0.5357142857142857,0.3191489361702128,0.4,234,13,32,15,1500,15000,499500
lightgbm,0.65,0.8367346938775511,0.4782608695652174,0.23404255319148937,0.3142857142857143,235,12,36,11,1500,15000,558000
lightgbm,0.7,0.8367346938775511,0.47368421052631576,0.19148936170212766,0.2727272727272727,237,10,38,9,1500,15000,585000
lightgbm,0.75,0.8469387755102041,0.5625,0.19148936170212766,0.2857142857142857,240,7,38,9,1500,15000,580500
lightgbm,0.8,0.8537414965986394,0.6666666666666666,0.1702127659574468,0.2711864406779661,243,4,39,8,1500,15000,591000
lightgbm,0.85,0.8571428571428571,0.7777777777777778,0.14893617021276595,0.25,245,2,40,7,1500,15000,603000
lightgbm,0.9,0.8537414965986394,0.8333333333333334,0.10638297872340426,0.18867924528301885,246,1,42,5,1500,15000,631500
